               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.023156,            0.024018,            0.008292,             0.82706,              0.7289,             0.81823,             0.62591,            0.015435,            0.013971,           0.0077595,            0.002872,            0.002872,            0.002872
                  38,            0.023093,            0.023313,           0.0078551,             0.78794,             0.75073,             0.80772,             0.61853,             0.01551,            0.013883,           0.0080896,            0.002674,            0.002674,            0.002674
                  39,            0.023144,            0.023033,           0.0077937,             0.79615,             0.75781,             0.82268,             0.62787,            0.015622,            0.013897,           0.0080741,            0.002476,            0.002476,            0.002476
                  40,            0.023425,            0.023236,           0.0080219,             0.81549,              0.7342,              0.8121,             0.62383,            0.015426,            0.013964,           0.0086372,            0.002278,            0.002278,            0.002278
                  41,            0.022667,            0.023062,           0.0071871,             0.81711,             0.73205,             0.81476,             0.62931,            0.015158,            0.013811,           0.0088055,             0.00208,             0.00208,             0.00208
                  42,            0.022883,            0.023215,           0.0073821,             0.81339,             0.74186,             0.81697,             0.63068,            0.015212,            0.013878,           0.0079683,            0.001882,            0.001882,            0.001882
                  43,            0.022388,            0.023049,           0.0071578,             0.80868,             0.76683,             0.82977,             0.64521,            0.015086,            0.013539,           0.0076242,            0.001684,            0.001684,            0.001684
                  44,             0.02201,            0.022657,            0.006671,              0.8062,             0.74989,             0.82305,             0.63763,             0.01508,            0.013854,           0.0079208,            0.001486,            0.001486,            0.001486
                  45,            0.021657,             0.02247,           0.0068124,             0.82864,             0.75187,             0.82768,             0.64181,            0.015046,            0.013761,           0.0080618,            0.001288,            0.001288,            0.001288
                  46,            0.020212,            0.021134,           0.0047821,              0.8118,             0.76442,             0.82805,             0.64291,            0.015152,            0.013899,           0.0080183,             0.00109,             0.00109,             0.00109
                  47,            0.020158,            0.020953,           0.0046108,             0.82874,             0.76102,             0.82904,             0.64725,             0.01519,            0.013931,           0.0079422,            0.000892,            0.000892,            0.000892
                  48,            0.018734,             0.01992,           0.0034636,              0.8168,             0.76259,             0.82893,             0.64533,            0.015189,            0.014113,           0.0079873,            0.000694,            0.000694,            0.000694
                  49,            0.018809,            0.019956,           0.0035183,               0.815,             0.77454,             0.82885,             0.64658,            0.015298,            0.014041,           0.0079753,            0.000496,            0.000496,            0.000496
