               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060965,            0.036253,            0.048291,             0.20045,             0.32596,             0.20917,             0.10574,             0.02916,            0.018045,            0.029285,             0.07005,           0.0033278,           0.0033278
                   1,            0.043369,            0.031699,            0.035481,             0.41695,             0.42815,             0.38429,              0.1914,            0.027832,            0.016873,            0.022433,            0.039918,           0.0065292,           0.0065292
                   2,            0.041774,            0.031318,            0.029726,             0.40667,             0.41186,             0.38289,             0.21429,             0.02766,            0.018081,            0.021904,           0.0096543,           0.0095987,           0.0095987
                   3,            0.040618,             0.03175,            0.028939,              0.4585,             0.42141,             0.41429,             0.23869,            0.024686,            0.018474,            0.021223,            0.009406,            0.009406,            0.009406
                   4,            0.038398,            0.031801,            0.027518,             0.42242,             0.38086,             0.35645,             0.18949,            0.027194,            0.019146,            0.022836,            0.009406,            0.009406,            0.009406
                   5,            0.037208,            0.030997,            0.025593,              0.5303,             0.52028,             0.53566,             0.32456,            0.022807,            0.017467,            0.016329,            0.009208,            0.009208,            0.009208
                   6,            0.035878,            0.031556,            0.024362,             0.55232,             0.55568,             0.55912,             0.34953,            0.021846,            0.017137,            0.016172,             0.00901,             0.00901,             0.00901
                   7,            0.034993,            0.030799,            0.022405,             0.60469,             0.53973,              0.5849,             0.38455,            0.021367,            0.016929,            0.015162,            0.008812,            0.008812,            0.008812
                   8,            0.034486,            0.030571,            0.021355,             0.55854,             0.54374,             0.56154,             0.34597,            0.022191,            0.017848,            0.015058,            0.008614,            0.008614,            0.008614
                   9,            0.033675,            0.030423,            0.020794,             0.61437,             0.59654,             0.61411,             0.40561,            0.020973,            0.016086,            0.015021,            0.008416,            0.008416,            0.008416
                  10,            0.032999,            0.029424,            0.019651,             0.58842,             0.54028,             0.56852,             0.36938,            0.021173,            0.017591,            0.015671,            0.008218,            0.008218,            0.008218
                  11,            0.031909,            0.029203,            0.019806,             0.60697,             0.62498,             0.63454,             0.40718,            0.020443,            0.016571,            0.013792,             0.00802,             0.00802,             0.00802
                  12,            0.031174,            0.028608,            0.018254,             0.67389,             0.64516,             0.68837,             0.47429,            0.018959,            0.015684,            0.011853,            0.007822,            0.007822,            0.007822
                  13,            0.030256,            0.027371,            0.016882,             0.66913,              0.6035,             0.66509,             0.45723,             0.01868,             0.01562,            0.013371,            0.007624,            0.007624,            0.007624
                  14,            0.029985,             0.02723,            0.017502,             0.66361,             0.64152,             0.67945,             0.47045,            0.018622,            0.015378,            0.011694,            0.007426,            0.007426,            0.007426
                  15,             0.03001,            0.028054,            0.016492,             0.70599,             0.65335,             0.71823,             0.49628,            0.017837,            0.015179,            0.011116,            0.007228,            0.007228,            0.007228
                  16,             0.02983,            0.026702,            0.016104,             0.73178,             0.64641,             0.73205,               0.494,            0.018334,            0.015276,            0.011334,             0.00703,             0.00703,             0.00703
                  17,            0.028782,            0.027304,            0.014762,             0.72298,             0.59261,             0.66539,             0.45386,            0.018363,            0.015609,             0.01406,            0.006832,            0.006832,            0.006832
                  18,            0.028643,            0.026541,            0.014595,             0.67856,             0.66117,             0.69585,             0.49028,            0.018585,            0.015386,            0.012061,            0.006634,            0.006634,            0.006634
                  19,            0.028171,             0.02718,            0.013979,             0.69922,             0.67015,              0.7238,             0.51416,            0.017628,            0.015326,            0.010964,            0.006436,            0.006436,            0.006436
                  20,            0.027912,            0.026227,            0.013995,             0.72124,             0.66992,             0.71976,             0.50706,             0.01722,            0.015028,            0.011661,            0.006238,            0.006238,            0.006238
                  21,            0.028078,            0.026763,            0.012772,             0.74407,             0.70116,             0.75737,             0.54326,            0.017314,            0.014966,            0.010554,             0.00604,             0.00604,             0.00604
                  22,            0.027503,             0.02633,            0.011939,             0.74878,             0.69934,             0.75676,             0.53462,            0.017113,            0.014747,            0.010217,            0.005842,            0.005842,            0.005842
                  23,            0.027569,            0.026921,            0.012333,             0.73891,             0.70181,             0.76358,             0.55577,            0.016734,             0.01455,            0.010186,            0.005644,            0.005644,            0.005644
                  24,            0.026854,            0.025477,            0.012918,             0.75368,              0.7073,             0.76958,             0.55514,             0.01685,            0.014722,           0.0098584,            0.005446,            0.005446,            0.005446
                  25,            0.027415,            0.025952,            0.011701,             0.78428,             0.71427,             0.78695,             0.57848,            0.016334,            0.014512,           0.0090844,            0.005248,            0.005248,            0.005248
                  26,            0.026327,            0.025445,            0.011325,             0.77157,             0.71076,             0.78256,             0.57356,            0.016512,            0.014536,           0.0092786,             0.00505,             0.00505,             0.00505
                  27,            0.025901,            0.024986,            0.011525,             0.76199,             0.73555,              0.7829,             0.57615,            0.016399,            0.014321,           0.0096517,            0.004852,            0.004852,            0.004852
                  28,             0.02571,            0.024746,            0.010745,             0.78162,             0.72823,             0.79655,             0.58965,            0.016096,            0.013967,           0.0094259,            0.004654,            0.004654,            0.004654
                  29,            0.025644,            0.024939,            0.010004,             0.76541,             0.72227,              0.7829,             0.57959,            0.016069,            0.014493,           0.0086163,            0.004456,            0.004456,            0.004456
                  30,             0.02503,            0.024694,           0.0099286,              0.7936,               0.721,             0.79802,             0.59413,            0.015783,            0.014263,           0.0085169,            0.004258,            0.004258,            0.004258
                  31,            0.025184,            0.024399,            0.009745,             0.80494,             0.72114,             0.80144,              0.6036,            0.015674,             0.01426,           0.0085084,             0.00406,             0.00406,             0.00406
